STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,SNWD,Measurement Flag,Quality Flag,SNOW,Measurement Flag,Quality Flag
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130301,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130302,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130303,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130304,0,T, ,-9999, , ,-9999, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130305,0.05, , ,-9999, , ,0.1, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130306,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130307,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130308,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130309,0.21, , ,-9999, , ,2.1, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130310,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130311,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130312,0.32, , ,-9999, , ,-9999, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130313,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130322,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130404,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130405,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130408,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130409,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130410,0.19, , ,-9999, , ,3, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130411,0, , ,-9999, , ,0, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130416,0.6, , ,-9999, , ,6, , 
GHCND:US1CODN0159,DENVER 4.6 S CO US,1648.7,39.6614,-104.9555,20130417,0,T, ,-9999, , ,-9999, , 
